VDR Name,Account,Date,Memo,Document Number/ID,Transaction,Type,Total Amount (Transaction Currency)
VDR-0106 Orion Labs,
,Accrued Purchases,8/27/2020,PO 082620AP,6902471,Bill #6902471,VendBill,-351.86,
,Accrued Purchases,8/25/2020,082620AP,IR-0420,Item Receipt #IR-0420,ItemRcpt,-327.04,
,Accrued Purchases,8/28/2020,PO 082620CYTO,6993063,Bill #6993063,VendBill,-582.17,
,Accrued Purchases,9/23/2020,PO 092320MOL - received from RD on 10/01/2020,9411157,Bill #9411157,VendBill,-833.78,
,Accrued Purchases,9/23/2020,PO 092320FLOW - received from RD on 10/01/2020,9411155,Bill #9411155,VendBill,-1047.86,
,Accrued Purchases,12/31/2020,Adjusting item PO 092920 Flow,JE-4932640,Journal #JE-4932640,Journal,null,
,Accrued Purchases,9/18/2020,IR-0574 - PO 091820COVID19 CYTO,8742425,Bill #8742425,VendBill,-4391.61,
,Accrued Purchases,9/1/2020,082620Cyto,IR-0518,Item Receipt #IR-0518,ItemRcpt,-546,
,Accrued Purchases,9/17/2020,091020MOL,IR-0534,Item Receipt #IR-0534,ItemRcpt,-952.56,
,Accrued Purchases,9/17/2020,PO 091020MOL,8587460,Bill #8587460,VendBill,-1101.23,
,Accrued Purchases,10/13/2020,100920AP,IR-0676,Item Receipt #IR-0676,ItemRcpt,-519.64,
,Accrued Purchases,10/2/2020,092820Cyto,IR-0587,Item Receipt #IR-0587,ItemRcpt,-894.4,
,Accrued Purchases,9/30/2020,PO 092920FLOW,0042009,Bill #0042009,VendBill,-71.5,
,Accrued Purchases,10/5/2020,100220cOVID 19,IR-0649,Item Receipt #IR-0649,ItemRcpt,-129.6,
,Accrued Purchases,10/12/2020,PO 100720MOL - Received from RD on 10/20/2020,0911876,Bill #0911876,VendBill,-1450.5,
,Accrued Purchases,10/20/2020,PO 101920FLOW,1553253,Bill #1553253,VendBill,-1105.65,
,Accrued Purchases,9/30/2020,0923MOL,IR-0639,Item Receipt #IR-0639,ItemRcpt,-628.3,
,Accrued Purchases,9/25/2020,PO 092320FLOW - received from RD on 10/07/2020,9694609,Bill #9694609,VendBill,-45.85,
,Accrued Purchases,9/30/2020,092320mol,IR-0648,Item Receipt #IR-0648,ItemRcpt,-127.9,
,Accrued Purchases,10/13/2020,PO 100920AP,1036519,Bill #1036519,VendBill,-2280.89,
,Accrued Purchases,9/30/2020,091820Covid19cyto,IR-0617,Item Receipt #IR-0617,ItemRcpt,-2810,
,Accrued Purchases,10/6/2020,082620CYTO as per ali hassan,IR-0609,Item Receipt #IR-0609,ItemRcpt,-126.75,
,Accrued Purchases,9/29/2020,092320Flow,IR-0621,Item Receipt #IR-0621,ItemRcpt,-43,
,Accrued Purchases,9/30/2020,092320Flow,IR-0630,Item Receipt #IR-0630,ItemRcpt,-470.5,
,Accrued Purchases,10/20/2020,100920AP,IR-0701,Item Receipt #IR-0701,ItemRcpt,-454.37,
,Accrued Purchases,10/20/2020,101620CTYO,IR-0703,Item Receipt #IR-0703,ItemRcpt,-312,
,Accrued Purchases,10/14/2020,100920AP,IR-0674,Item Receipt #IR-0674,ItemRcpt,-421.5,
,Accrued Purchases,10/16/2020,100920AP,IR-0675,Item Receipt #IR-0675,ItemRcpt,-954,
,Accrued Purchases,10/2/2020,PO 082620CYTO,0263293,Bill #0263293,VendBill,-540.59,
,Accrued Purchases,10/9/2020,100720MOL,IR-0659,Item Receipt #IR-0659,ItemRcpt,-1270.08,
,Accrued Purchases,10/19/2020,PO 101520AP - received from RD on 10/28/2020,1455009,Bill #1455009,VendBill,-462.97,
,Accrued Purchases,10/28/2020,101920AP,IR-0704,Item Receipt #IR-0704,ItemRcpt,-193.49,
,Accrued Purchases,9/30/2020,092320Flow,IR-0631,Item Receipt #IR-0631,ItemRcpt,-509.3,
,Accrued Purchases,9/30/2020,PO 092820CYTO,0042007,Bill #0042007,VendBill,-989.43,
,Accrued Purchases,10/2/2020,PO 092820CYTO,0263300,Bill #0263300,VendBill,-953.65,
,Accrued Purchases,10/2/2020,PO 100220COVID19,0263301,Bill #0263301,VendBill,-360.61,
,Accrued Purchases,10/12/2020,PO 100920AP,0911878,Bill #0911878,VendBill,-622.47,
,Accrued Purchases,10/20/2020,101520Cyto,IR-0702,Item Receipt #IR-0702,ItemRcpt,-408,
,Accrued Purchases,9/30/2020,092820Cyto,IR-0606,Item Receipt #IR-0606,ItemRcpt,-850,
,Accrued Purchases,10/19/2020,PO 101620CYTO,1455008,Bill #1455008,VendBill,-1981.31,
,Accrued Purchases,10/14/2020,PO 100920AP,1147945,Bill #1147945,VendBill,-1017.54,
,Accrued Purchases,10/6/2020,082620Cyto hassan ali,IR-0612,Item Receipt #IR-0612,ItemRcpt,-380.25,
,Accrued Purchases,10/29/2020,102720FLOW,IR-0727,Item Receipt #IR-0727,ItemRcpt,-470.5,
,Accrued Purchases,10/20/2020,101620Cyto INV LIST,IR-0768,Item Receipt #IR-0768,ItemRcpt,-1520,
,Accrued Purchases,11/17/2020,111620APMOL,IR-0808,Item Receipt #IR-0808,ItemRcpt,-158,
,Accrued Purchases,11/11/2020,092320AP,IR-0831,Item Receipt #IR-0831,ItemRcpt,-172.55,
,Accrued Purchases,11/4/2020,102720Cyto,IR-0777,Item Receipt #IR-0777,ItemRcpt,-1073.28,
,Accrued Purchases,10/30/2020,101920FLOW,IR-0763,Item Receipt #IR-0763,ItemRcpt,-1034,
,Accrued Purchases,11/23/2020,PO 112320CYTO,3954522,Bill #3954522,VendBill,-67.34,
